mrp;price;product_category;rating;review_count;Silk;Cotton;Modal;Nylon;Rayon;Spandex;Elastane;polyester;Viscose;Polyurethane
68;68;Collections;0;0;0;0;0;0;90;10;0;0;0;0
68;68;Collections;0;0;0;0;0;0;90;10;0;0;0;0
30;30;Panties;0;0;0;0;0;95;0;5;0;0;0;0
30;30;Panties;0;0;0;0;0;95;0;5;0;0;0;0
59;59;Collections;0;0;0;0;0;82;6;12;0;0;0;0
615;615;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
86;86;Collections;0;0;0;0;0;0;95;5;0;0;0;0
60;60;Collections;0;0;0;0;0;72;0;28;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
82;82;Collections;0;0;0;0;0;100;0;0;0;0;0;0
90;90;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
90;90;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
90;90;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
90;90;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
90;90;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Panties;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Panties;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Panties;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Panties;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Panties;0;0;0;0;0;100;0;0;0;0;0;0
96;96;Collections;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Panties;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Collections;0;0;0;0;0;100;0;0;0;0;0;0
41;41;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
49;49;Panties;0;0;0;0;0;75;25;0;0;0;0;0
58;58;Collections;0;0;0;96;0;0;0;4;0;0;0;0
58;58;Collections;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
102;102;Collections;0;0;0;0;0;100;0;0;0;0;0;0
96;96;Lingerie;0;0;0;0;0;72;0;28;0;0;0;0
92;92;Lingerie;0;0;0;0;0;0;90;10;0;0;0;0
92;92;Lingerie;0;0;0;0;0;0;90;10;0;0;0;0
50;50;Collections;0;0;0;0;0;0;0;0;0;100;0;0
50;50;Collections;0;0;0;0;0;0;0;0;0;100;0;0
50;50;Collections;0;0;0;0;0;0;0;0;0;100;0;0
60;60;Collections;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Collections;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Collections;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Panties;0;0;0;0;0;72;0;28;0;0;0;0
69;69;Collections;0;0;100;0;0;0;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
102;102;Lingerie;0;0;0;0;0;0;0;0;0;100;0;0
140;140;Collections;0;0;0;0;0;100;0;0;0;0;0;0
140;140;Collections;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Panties;0;0;0;0;0;79;0;21;0;0;0;0
39;39;Collections;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Panties;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
96;96;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
615;615;Collections;0;0;0;0;0;100;0;0;0;0;0;0
23;23;Thongs;0;0;0;0;0;89;0;11;0;0;0;0
53;53;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
24;24;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Collections;0;0;0;0;0;100;0;0;0;0;0;0
56;56;Lingerie;0;0;0;0;0;0;90;10;0;0;0;0
56;56;Lingerie;0;0;0;0;0;0;90;10;0;0;0;0
24;24;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Panties;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Panties;0;0;0;0;0;100;0;0;0;0;0;0
68;68;Collections;0;0;0;0;0;72;0;28;0;0;0;0
68;68;Collections;0;0;0;0;0;72;0;28;0;0;0;0
68;68;Collections;0;0;0;0;0;72;0;28;0;0;0;0
68;68;Collections;0;0;0;0;0;72;0;28;0;0;0;0
68;68;Collections;0;0;0;0;0;72;0;28;0;0;0;0
160;160;Collections;0;0;0;0;0;100;0;0;0;0;0;0
160;160;Collections;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
126;126;Collections;0;0;0;0;0;100;0;0;0;0;0;0
20;20;Lingerie;0;0;0;0;0;77;0;18;0;5;0;0
25;25;Collections;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Panties;0;0;0;0;0;100;0;0;0;0;0;0
48;48;Bras-and-tops;0;0;0;0;0;72;0;28;0;0;0;0
48;48;Bras-and-tops;0;0;0;0;0;72;0;28;0;0;0;0
48;48;Bras-and-tops;0;0;0;0;0;72;0;28;0;0;0;0
60;60;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
62;62;Collections;0;0;0;0;0;100;0;0;0;0;0;0
62;62;Collections;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Collections;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Collections;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Collections;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Collections;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Collections;0;0;0;0;0;100;0;0;0;0;0;0
22;22;Collections;0;0;0;0;0;72;0;28;0;0;0;0
22;22;Collections;0;0;0;0;0;72;0;28;0;0;0;0
22;22;Collections;0;0;0;0;0;72;0;28;0;0;0;0
22;22;Collections;0;0;0;0;0;72;0;28;0;0;0;0
22;22;Collections;0;0;0;0;0;72;0;28;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
60;60;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
36;36;Collections;0;0;0;0;0;100;0;0;0;0;0;0
24;24;Collections;0;0;0;0;0;88;0;12;0;0;0;0
59;59;Bras-and-tops;0;0;0;0;0;72;0;28;0;0;0;0
15;15;Panties;0;0;0;0;0;0;0;0;0;100;0;0
54;54;Bras-and-tops;0;0;0;0;0;75;25;0;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;75;25;0;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;75;25;0;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;75;25;0;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;75;25;0;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;75;25;0;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;75;25;0;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;75;25;0;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;75;25;0;0;0;0;0
39;39;Collections;0;0;0;0;0;95;0;5;0;0;0;0
90;90;Collections;0;0;0;0;0;100;0;0;0;0;0;0
90;90;Collections;0;0;0;0;0;100;0;0;0;0;0;0
90;90;Collections;0;0;0;0;0;100;0;0;0;0;0;0
90;90;Collections;0;0;0;0;0;100;0;0;0;0;0;0
90;90;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Collections;0;0;0;0;0;100;0;0;0;0;0;0
28;28;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
28;28;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
96;96;Collections;0;0;0;0;0;72;0;28;0;0;0;0
23;23;Collections;0;0;0;0;0;75;25;0;0;0;0;0
14;14;Collections;0;0;0;0;0;92;0;8;0;0;0;0
36;36;Collections;0;0;0;0;0;79;0;21;0;0;0;0
36;36;Collections;0;0;0;0;0;79;0;21;0;0;0;0
36;36;Collections;0;0;0;0;0;79;0;21;0;0;0;0
36;36;Collections;0;0;0;0;0;79;0;21;0;0;0;0
36;36;Collections;0;0;0;0;0;79;0;21;0;0;0;0
36;36;Collections;0;0;0;0;0;79;0;21;0;0;0;0
36;36;Collections;0;0;0;0;0;79;0;21;0;0;0;0
36;36;Collections;0;0;0;0;0;79;0;21;0;0;0;0
36;36;Collections;0;0;0;0;0;79;0;21;0;0;0;0
36;36;Collections;0;0;0;0;0;79;0;21;0;0;0;0
36;36;Collections;0;0;0;0;0;79;0;21;0;0;0;0
30;30;Collections;0;0;0;0;0;100;0;0;0;0;0;0
30;30;Collections;0;0;0;0;0;100;0;0;0;0;0;0
30;30;Collections;0;0;0;0;0;100;0;0;0;0;0;0
30;30;Collections;0;0;0;0;0;100;0;0;0;0;0;0
30;30;Collections;0;0;0;0;0;100;0;0;0;0;0;0
30;30;Collections;0;0;0;0;0;100;0;0;0;0;0;0
30;30;Collections;0;0;0;0;0;100;0;0;0;0;0;0
30;30;Collections;0;0;0;0;0;100;0;0;0;0;0;0
24;24;Collections;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
