mrp;price;product_category;rating;review_count;silicone;cotton;nylon;modal;polyester;spandex;elastane;rayon;viscose;polyurethane;metallic fibers
15;15;Panties;4.2;65;0;79;0;0;0;21;0;0;0;0;0
15;15;Panties;4.2;65;0;79;0;0;0;21;0;0;0;0;0
15;15;Panties;4.2;65;0;79;0;0;0;21;0;0;0;0;0
15;15;Panties;4.2;65;0;79;0;0;0;21;0;0;0;0;0
18;18;Skin-Tone Lingerie;3;2;0;0;72;0;0;28;0;0;0;0;0
18;18;Skin-Tone Lingerie;3;2;0;0;72;0;0;28;0;0;0;0;0
18;18;Skin-Tone Lingerie;3;2;0;0;72;0;0;28;0;0;0;0;0
23;23;Sexy Lingerie;0;0;0;0;77;0;5;18;0;0;0;0;0
78;78;Sexy Lingerie;0;0;0;0;80;0;0;20;0;0;0;0;0
15;15;Skin-Tone Lingerie;4.3;33;0;0;93;0;0;7;0;0;0;0;0
15;15;Skin-Tone Lingerie;4.3;33;0;0;93;0;0;7;0;0;0;0;0
20;20;Panties;0;0;0;0;88;0;0;12;0;0;0;0;0
20;20;Panties;0;0;0;0;88;0;0;12;0;0;0;0;0
90;90;Skin-Tone Lingerie;4.7;30;0;0;100;0;0;0;0;0;0;0;0
90;90;Skin-Tone Lingerie;4.7;30;0;0;100;0;0;0;0;0;0;0;0
13;13;Panties;0;0;0;0;92;0;0;0;8;0;0;0;0
13;13;Panties;0;0;0;0;92;0;0;0;8;0;0;0;0
70;70;Panties;0;0;0;0;100;0;0;0;0;0;0;0;0
29;29;Bras;0;0;0;0;91;0;0;9;0;0;0;0;0
39;39;Panties;4.2;14;0;0;79;0;0;21;0;0;0;0;0
39;39;Panties;4.2;14;0;0;79;0;0;21;0;0;0;0;0
22;22;Panties;0;0;0;0;72;0;0;0;28;0;0;0;0
22;22;Panties;0;0;0;0;72;0;0;0;28;0;0;0;0
38;38;Bridal Lingerie;4;24;0;0;84;0;0;16;0;0;0;0;0
55;55;Skin-Tone Lingerie;3.3;4;0;0;81;0;0;19;0;0;0;0;0
55;55;Skin-Tone Lingerie;3.3;4;0;0;81;0;0;19;0;0;0;0;0
69;69;Bras;0;0;0;0;82;0;0;18;0;0;0;0;0
65;65;Bras;4.6;135;0;0;67;0;0;33;0;0;0;0;0
65;65;Bras;4.6;135;0;0;67;0;0;33;0;0;0;0;0
65;65;Bras;4.6;135;0;0;67;0;0;33;0;0;0;0;0
18;18;Panties;5;1;0;0;88;0;0;12;0;0;0;0;0
18;18;Panties;5;1;0;0;88;0;0;12;0;0;0;0;0
39;39;Panties;4.5;15;0;0;100;0;0;0;0;0;0;0;0
43;43;Panties;0;0;0;0;71;0;0;0;14;15;0;0;0
64;64;Bridal Lingerie;0;0;0;0;77;0;5;18;0;0;0;0;0
20;20;Sexy Lingerie;4.7;16;0;0;89;0;0;11;0;0;0;0;0
72;72;Bras;3.9;19;0;0;72;0;0;28;0;0;0;0;0
72;72;Bras;3.9;19;0;0;72;0;0;28;0;0;0;0;0
72;72;Bras;3.9;19;0;0;72;0;0;28;0;0;0;0;0
48;48;Skin-Tone Lingerie;0;0;0;0;78;0;0;0;22;0;0;0;0
48;48;Skin-Tone Lingerie;0;0;0;0;78;0;0;0;22;0;0;0;0
45;45;Sexy Lingerie;5;5;0;0;100;0;0;0;0;0;0;0;0
45;45;Sexy Lingerie;5;5;0;0;100;0;0;0;0;0;0;0;0
19;19;Panties;4.7;10;0;0;66;0;0;16;0;14;0;0;4
19;19;Panties;4.7;10;0;0;66;0;0;16;0;14;0;0;4
32;32;Sexy Lingerie;0;0;0;0;77;0;0;23;0;0;0;0;0
44;44;Bras;0;0;0;0;84;0;0;16;0;0;0;0;0
44;44;Panties;0;0;0;0;100;0;0;0;0;0;0;0;0
39;39;Panties;0;0;0;0;100;0;0;0;0;0;0;0;0
65;65;Bras;3.9;8;0;0;0;0;90;10;0;0;0;0;0
15;15;Skin-Tone Lingerie;4.3;52;0;0;91;0;0;9;0;0;0;0;0
15;15;Skin-Tone Lingerie;4.3;52;0;0;91;0;0;9;0;0;0;0;0
32;32;Panties;0;0;0;0;94;0;0;6;0;0;0;0;0
32;32;Panties;0;0;0;0;94;0;0;6;0;0;0;0;0
68;68;Bras;4.4;11;0;0;80;0;0;20;0;0;0;0;0
68;68;Bras;4.4;11;0;0;80;0;0;20;0;0;0;0;0
68;68;Bras;4.4;11;0;0;80;0;0;20;0;0;0;0;0
28;28;Bras;0;0;0;0;95;0;0;5;0;0;0;0;0
28;28;Bras;0;0;0;0;95;0;0;5;0;0;0;0;0
62;62;Sexy Lingerie;0;0;0;0;61;0;0;39;0;0;0;0;0
62;62;Sexy Lingerie;0;0;0;0;61;0;0;39;0;0;0;0;0
62;62;Sexy Lingerie;0;0;0;0;61;0;0;39;0;0;0;0;0
60;60;Panties;0;0;0;0;100;0;0;0;0;0;0;0;0
