mrp,price,product_category,rating,review_count,Nylon,Rayon,Spandex,polyester,Cotton,Modal,Elastane,Classe
44.0,44.0,Bras,4.2,409,76,0,0,0,0,0,24.0,0
20.0,14.65,Panties,4.7,507,0,0,0,0,53,35,12.0,0
20.0,17.0,Panties,4.7,507,0,0,0,0,53,35,12.0,0
35.98,35.98,Panties,3.8,80,72,0,0,0,0,0,28.0,0
58.0,50.01,Bras,4.1,9,59,0,41,0,0,0,0.0,1
20.0,14.62,Panties,4.7,507,0,0,0,0,53,35,12.0,0
19.28,19.28,Bras,4.0,221,80,0,20,0,0,0,0.0,1
41.79,41.79,Bras,4.0,221,80,0,20,0,0,0,0.0,1
46.0,39.34,Bras,4.3,431,72,0,0,0,0,0,28.0,0
42.0,34.97,Bras,4.0,221,80,0,20,0,0,0,0.0,1
22.0,7.11,Panties,4.4,380,0,0,12,0,53,35,0.0,0
44.0,27.35,Bras,4.2,409,76,0,0,0,0,0,24.0,0
24.99,24.99,Panties,4.7,110,93,0,7,0,0,0,0.0,0
44.0,39.6,Bras,4.2,409,76,0,0,0,0,0,24.0,0
18.77,18.77,Panties,4.3,375,0,0,0,0,95,0,5.0,0
54.99,54.99,Bras,4.2,555,0,0,15,85,0,0,0.0,1
32.0,28.99,Bras,3.7,54,0,0,0,0,92,0,8.0,0
55.0,32.95,Bras,4.2,555,0,0,15,85,0,0,0.0,1
22.0,13.36,Panties,4.4,380,0,0,0,0,53,35,12.0,0
65.0,45.27,Bras,4.3,88,0,0,10,90,0,0,0.0,1
22.0,9.95,Panties,4.4,380,0,0,0,0,53,35,12.0,0
44.0,32.0,Bras,4.2,409,76,0,0,0,0,0,24.0,0
50.0,34.93,Bras,4.3,390,41,0,11,48,0,0,0.0,1
46.0,46.0,Bras,4.3,431,72,0,0,0,0,0,28.0,0
65.0,59.32,Bras,4.3,1763,80,0,20,0,0,0,0.0,1
50.0,39.22,Bras,4.2,972,85,0,15,0,0,0,0.0,1
48.0,35.99,Bras,4.3,398,82,0,18,0,0,0,0.0,1
68.0,36.59,Bras,4.2,250,80,0,20,0,0,0,0.0,1
39.0,39.0,Panties,4.3,429,0,0,0,0,95,0,5.0,0
49.99,49.99,Bras,4.5,773,100,0,0,0,0,0,0.0,1
20.0,12.9,Panties,4.7,532,0,0,0,0,53,35,12.0,0
32.0,25.6,Bras,3.9,93,0,0,0,0,92,0,8.0,0
68.0,36.54,Bras,4.2,96,70,0,30,0,0,0,0.0,1
55.0,48.0,Bras,4.3,605,0,0,15,85,0,0,0.0,1
68.0,26.38,Bras,4.2,96,70,0,30,0,0,0,0.0,1
31.95,31.95,Bras,4.3,414,41,0,11,48,0,0,0.0,1
47.65,47.65,Bras,4.3,398,82,0,18,0,0,0,0.0,1
38.0,33.68,Bras,4.3,382,100,0,0,0,0,0,0.0,1
18.0,11.65,Bras,4.0,518,100,0,0,0,0,0,0.0,0
65.0,44.48,Bras,4.2,114,0,0,10,90,0,0,0.0,1
55.0,23.73,Bras,4.3,605,0,0,15,85,0,0,0.0,1
22.0,15.91,Panties,4.2,19,0,0,0,0,92,0,8.0,0
46.0,46.0,Bras,4.3,398,82,0,18,0,0,0,0.0,1
49.67,49.67,Bras,4.3,398,82,0,18,0,0,0,0.0,1
72.0,44.99,Bras,3.8,105,72,0,28,0,0,0,0.0,1
60.0,55.0,Bras,4.4,772,82,0,18,0,0,0,0.0,1
65.0,30.99,Bras,4.2,114,0,0,10,90,0,0,0.0,1
29.0,29.0,Panties,4.3,429,0,0,0,0,95,0,5.0,0
65.0,65.0,Bras,3.8,105,72,0,28,0,0,0,0.0,1
48.0,42.0,Bras,4.3,398,82,0,18,0,0,0,0.0,1
38.0,28.5,Bras,4.5,26,79,0,0,0,0,0,21.0,0
36.0,29.84,Bras,4.6,68,72,0,0,0,0,0,28.0,0
33.63,33.63,Bras,4.5,26,79,0,0,0,0,0,21.0,0
38.0,25.99,Bras,4.5,26,79,0,0,0,0,0,21.0,0
68.0,47.4,Bras,4.2,250,80,0,20,0,0,0,0.0,1
65.0,30.55,Bras,4.3,1894,80,0,20,0,0,0,0.0,1
21.41,21.41,Panties,4.3,429,0,0,0,0,95,0,5.0,0
72.0,49.99,Bras,3.8,105,72,0,28,0,0,0,0.0,1
65.0,62.0,Bras,4.4,841,91,0,9,0,0,0,0.0,1
27.0,23.99,Panties,3.9,47,100,0,0,0,0,0,0.0,0
48.0,32.96,Bras,4.3,398,82,0,18,0,0,0,0.0,1
37.95,37.95,Bras,4.3,382,86,0,14,0,0,0,0.0,1
22.0,18.07,Panties,4.2,19,0,0,0,0,92,0,8.0,0
68.0,39.0,Bras,4.2,96,70,0,30,0,0,0,0.0,1
28.5,28.5,Bras,4.5,26,79,0,0,0,0,0,21.0,0
60.0,49.95,Bras,4.5,773,100,0,0,0,0,0,0.0,1
22.0,17.48,Panties,4.2,19,0,0,0,0,92,0,8.0,0
38.0,30.56,Bras,4.3,382,86,0,14,0,0,0,0.0,1
68.0,38.08,Bras,4.2,96,70,0,30,0,0,0,0.0,1
20.0,17.18,Panties,4.7,532,0,0,0,0,53,35,12.0,0
26.98,26.98,Panties,3.9,47,100,0,0,0,0,0,0.0,0
38.0,23.26,Bras,4.5,26,79,0,0,0,0,0,21.0,0
68.0,46.28,Bras,4.2,96,70,0,30,0,0,0,0.0,1
27.0,25.0,Panties,3.9,47,100,0,0,0,0,0,0.0,0
38.0,26.54,Bras,4.3,382,86,0,14,0,0,0,0.0,1
33.0,22.99,Panties,4.0,95,75,0,0,0,0,0,25.0,0
33.0,26.02,Panties,4.0,95,72,0,0,0,0,0,28.0,0
38.0,15.62,Bras,4.3,382,86,0,14,0,0,0,0.0,1
38.0,12.07,Bras,4.3,382,86,0,14,0,0,0,0.0,1
59.99,59.99,Bras,4.4,772,82,0,18,0,0,0,0.0,1
68.0,29.99,Bras,4.2,250,80,0,20,0,0,0,0.0,1
65.0,62.0,Bras,4.3,1894,80,0,20,0,0,0,0.0,1
70.4,70.4,Bras,4.4,291,87,0,13,0,0,0,0.0,1
68.0,59.99,Bras,4.2,250,80,0,20,0,0,0,0.0,1
68.0,59.8,Bras,4.2,250,80,0,20,0,0,0,0.0,1
44.0,39.58,Bras,4.1,16,79,0,0,0,0,0,21.5,0
48.0,48.0,Bras,4.4,772,100,0,0,0,0,0,0.0,1
55.0,52.0,Bras,4.3,605,0,0,15,85,0,0,0.0,1
65.0,34.98,Bras,4.3,1894,80,0,20,0,0,0,0.0,1
67.96,67.96,Bras,4.3,1894,80,0,20,0,0,0,0.0,1
60.0,42.0,Bras,4.5,773,100,0,0,0,0,0,0.0,1
65.0,47.99,Bras,4.3,1894,80,0,20,0,0,0,0.0,1
50.0,36.63,Bras,4.2,972,85,0,15,0,0,0,0.0,1
60.0,50.0,Bras,4.5,773,82,0,18,0,0,0,0.0,1
53.84,53.84,Bras,4.3,414,41,0,11,48,0,0,0.0,1
22.0,18.37,Panties,4.4,405,0,0,12,0,53,35,0.0,0
55.0,52.5,Bras,4.3,605,0,0,15,85,0,0,0.0,1
48.0,33.6,Bras,4.3,398,82,0,18,0,0,0,0.0,1
39.01,39.01,Bras,4.4,122,95,0,5,0,0,0,0.0,1
