mrp,price,product_category,rating,review_count,Nylon,Rayon,Spandex,polyester,Cotton,Modal,Elastane,Classe
36.0,32.4,1,4.5,47,72,0,0,0,0,0,28.0,0
27.0,27.0,0,4.4,91,41,0,11,48,0,0,0.0,0
65.0,65.0,1,4.3,298,0,0,0,100,0,0,0.0,1
65.0,65.0,1,4.4,747,91,0,9,0,0,0,0.0,1
55.0,55.0,1,4.2,555,0,0,15,85,0,0,0.0,1
44.0,44.0,1,4.2,409,76,0,0,0,0,0,24.0,0
20.0,14.65,0,4.7,507,0,0,0,0,53,35,12.0,0
55.0,55.0,1,4.2,555,0,0,15,85,0,0,0.0,1
50.0,50.0,1,4.3,390,54,0,13,33,0,0,0.0,1
38.0,25.0,1,4.2,360,86,0,14,0,0,0,0.0,1
20.0,17.0,0,4.7,507,0,0,0,0,53,35,12.0,0
65.0,47.99,1,4.3,88,0,0,10,90,0,0,0.0,1
50.0,44.0,1,4.3,391,41,0,11,48,0,0,0.0,1
44.0,44.0,1,4.0,10,88,0,12,0,0,0,0.0,1
50.0,50.0,1,4.1,455,0,0,0,100,0,0,0.0,1
65.0,65.0,1,4.3,298,0,0,0,100,0,0,0.0,1
60.0,60.0,1,4.5,725,82,0,18,0,0,0,0.0,1
46.0,46.0,1,4.1,130,82,0,18,0,0,0,0.0,1
48.0,48.0,1,4.2,913,85,0,15,0,0,0,0.0,1
60.0,60.0,1,4.5,725,82,0,18,0,0,0,0.0,1
60.0,60.0,1,4.1,126,81,0,19,0,0,0,0.0,1
27.0,27.0,0,4.4,91,41,0,11,48,0,0,0.0,0
50.0,44.0,1,4.3,391,41,0,11,48,0,0,0.0,1
55.0,55.0,1,4.2,555,0,0,15,85,0,0,0.0,1
58.0,39.99,1,4.1,9,59,0,41,0,0,0,0.0,1
50.0,39.95,1,4.3,391,41,0,11,48,0,0,0.0,1
46.0,46.0,1,4.3,431,72,0,0,0,0,0,28.0,0
65.0,65.0,1,4.3,1764,80,0,20,0,0,0,0.0,1
38.0,38.0,1,4.2,360,86,0,14,0,0,0,0.0,1
65.0,65.0,1,4.4,749,91,0,9,0,0,0,0.0,1
50.0,50.0,1,4.1,455,0,0,0,100,0,0,0.0,1
65.0,65.0,1,4.3,1764,80,0,20,0,0,0,0.0,1
38.0,38.0,1,4.2,360,86,0,14,0,0,0,0.0,1
46.0,41.4,1,4.3,431,71,0,29,0,0,0,0.0,1
55.0,55.0,1,4.2,555,0,0,15,85,0,0,0.0,1
65.0,65.0,1,4.4,747,91,0,9,0,0,0,0.0,1
39.0,39.0,0,4.1,42,88,0,0,0,0,0,12.0,0
35.98,35.98,0,3.8,80,72,0,0,0,0,0,28.0,0
58.0,50.01,1,4.1,9,59,0,41,0,0,0,0.0,1
60.0,60.0,1,4.5,725,82,0,18,0,0,0,0.0,1
27.0,27.0,0,4.4,91,82,0,18,0,0,0,0.0,0
60.0,60.0,1,4.5,725,82,0,18,0,0,0,0.0,1
55.0,55.0,1,4.2,555,0,0,15,85,0,0,0.0,1
60.0,60.0,1,4.5,725,82,0,18,0,0,0,0.0,1
44.0,44.0,1,4.0,10,88,0,12,0,0,0,0.0,1
22.0,22.0,0,4.4,380,0,0,0,0,53,35,12.0,0
20.0,14.62,0,4.7,507,0,0,0,0,53,35,12.0,0
38.0,38.0,1,3.8,27,71,0,0,0,0,0,29.5,0
60.0,60.0,1,4.5,725,100,0,0,0,0,0,0.0,1
50.0,50.0,1,4.1,455,0,0,0,100,0,0,0.0,1
18.0,11.99,1,4.0,484,100,0,0,0,0,0,0.0,0
38.0,27.99,1,4.2,360,86,0,14,0,0,0,0.0,1
19.28,19.28,1,4.0,221,80,0,20,0,0,0,0.0,1
41.79,41.79,1,4.0,221,80,0,20,0,0,0,0.0,1
38.0,38.0,1,3.8,27,71,0,0,0,0,0,29.5,0
65.0,65.0,1,4.3,1764,80,0,20,0,0,0,0.0,1
58.0,44.95,1,4.1,9,59,0,41,0,0,0,0.0,1
50.0,27.76,1,4.3,391,41,0,11,48,0,0,0.0,1
58.0,40.45,1,4.1,9,59,0,41,0,0,0,0.0,1
46.0,39.34,1,4.3,431,72,0,0,0,0,0,28.0,0
65.0,65.0,1,4.3,1763,80,0,20,0,0,0,0.0,1
36.0,32.4,1,4.5,47,72,0,0,0,0,0,28.0,0
20.0,20.0,0,4.7,507,0,0,0,0,53,35,12.0,0
65.0,65.0,1,4.4,748,91,0,9,0,0,0,0.0,1
42.0,34.97,1,4.0,221,80,0,20,0,0,0,0.0,1
20.0,20.0,0,4.7,507,0,0,0,0,53,35,12.0,0
13.0,13.0,0,4.4,115,79,0,0,0,0,0,21.0,0
65.0,65.0,1,4.4,748,91,0,9,0,0,0,0.0,1
50.0,50.0,1,4.2,913,85,0,15,0,0,0,0.0,1
60.0,60.0,1,4.5,725,82,0,18,0,0,0,0.0,1
65.0,65.0,1,4.4,747,91,0,9,0,0,0,0.0,1
58.0,58.0,1,4.1,9,59,0,41,0,0,0,0.0,1
22.0,7.11,0,4.4,380,0,0,12,0,53,35,0.0,0
44.0,27.35,1,4.2,409,76,0,0,0,0,0,24.0,0
24.99,24.99,0,4.7,110,93,0,7,0,0,0,0.0,0
44.0,39.6,1,4.2,409,76,0,0,0,0,0,24.0,0
18.77,18.77,0,4.3,375,0,0,0,0,95,0,5.0,0
42.0,37.8,1,3.9,178,67,0,33,0,0,0,0.0,1
54.99,54.99,1,4.2,555,0,0,15,85,0,0,0.0,1
60.0,60.0,1,4.5,725,82,0,18,0,0,0,0.0,1
32.0,28.99,1,3.7,54,0,0,0,0,92,0,8.0,0
27.0,27.0,0,4.4,91,41,0,11,48,0,0,0.0,0
38.0,30.99,1,3.8,27,71,0,0,0,0,0,29.5,0
65.0,38.99,1,4.3,88,0,0,10,90,0,0,0.0,1
42.0,29.99,1,3.9,178,67,0,33,0,0,0,0.0,1
44.0,44.0,1,4.0,10,88,0,12,0,0,0,0.0,1
46.0,41.39,1,4.3,431,71,0,29,0,0,0,0.0,1
