mrp,price,product_category,rating,review_count,Silk,Cotton,Modal,Nylon,Rayon,Spandex,Elastane,polyester,Viscose,Polyurethane,Classe
85.0,85.0,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
36.0,36.0,Thongs,0.0,0,0,0,0,0.0,0,0.0,0,100,0,0,1
69.0,69.0,Collections,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
86.0,86.0,Collections,0.0,0,0,0,0,90.0,0,10.0,0,0,0,0,0
25.0,25.0,Collections,0.0,0,0,0,0,89.0,0,11.0,0,0,0,0,0
30.0,30.0,Thongs,0.0,0,0,0,0,82.0,6,12.0,0,0,0,0,0
20.0,20.0,Thongs,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
46.0,46.0,Collections,0.0,0,0,0,0,60.0,12,10.0,0,18,0,0,0
50.0,50.0,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
125.0,125.0,Lingerie,0.0,0,0,0,0,0.0,95,5.0,0,0,0,0,1
75.0,75.0,Thongs,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
86.0,86.0,Lingerie,0.0,0,0,0,0,0.0,95,5.0,0,0,0,0,1
66.0,66.0,Thongs,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
53.0,53.0,Collections,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
36.0,36.0,Collections,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
30.0,30.0,Panties,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
68.0,68.0,Lingerie,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
75.0,75.0,Collections,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
72.0,72.0,Collections,0.0,0,0,0,0,75.0,25,0.0,0,0,0,0,0
33.0,33.0,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
30.0,30.0,Collections,0.0,0,0,0,0,60.0,12,10.0,0,18,0,0,0
39.0,39.0,Collections,0.0,0,0,96,0,0.0,0,4.0,0,0,0,0,1
20.0,20.0,Collections,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
23.0,23.0,Thongs,0.0,0,0,0,0,79.0,0,21.0,0,0,0,0,0
112.0,112.0,Collections,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
