mrp;price;product_category;rating;review_count;Nylon;Rayon;Spandex;polyester;Cotton;Modal;Elastane
36.00 ;32.40 ;Bras;4.5;47;72;0;0;0;0;0;28
27.00 ;27.00 ;Panties;4.4;91;41;0;11;48;0;0;0
65.00 ;65.00 ;Bras;4.3;298;0;0;0;100;0;0;0
65.00 ;65.00 ;Bras;4.4;747;91;0;9;0;0;0;0
55.00 ;55.00 ;Bras;4.2;555;0;0;15;85;0;0;0
44.00 ;44.00 ;Bras;4.2;409;76;0;0;0;0;0;24
20.00 ;14.65 ;Panties;4.7;507;0;0;0;0;53;35;12
55.00 ;55.00 ;Bras;4.2;555;0;0;15;85;0;0;0
50.00 ;50.00 ;Bras;4.3;390;54;0;13;33;0;0;0
38.00 ;25.00 ;Bras;4.2;360;86;0;14;0;0;0;0
20.00 ;17.00 ;Panties;4.7;507;0;0;0;0;53;35;12
65.00 ;47.99 ;Bras;4.3;88;0;0;10;90;0;0;0
50.00 ;44.00 ;Bras;4.3;391;41;0;11;48;0;0;0
44.00 ;44.00 ;Bras;4;10;88;0;12;0;0;0;0
50.00 ;50.00 ;Bras;4.1;455;0;0;0;100;0;0;0
65.00 ;65.00 ;Bras;4.3;298;0;0;0;100;0;0;0
60.00 ;60.00 ;Bras;4.5;725;82;0;18;0;0;0;0
46.00 ;46.00 ;Bras;4.1;130;82;0;18;0;0;0;0
48.00 ;48.00 ;Bras;4.2;913;85;0;15;0;0;0;0
60.00 ;60.00 ;Bras;4.5;725;82;0;18;0;0;0;0
60.00 ;60.00 ;Bras;4.1;126;81;0;19;0;0;0;0
27.00 ;27.00 ;Panties;4.4;91;41;0;11;48;0;0;0
50.00 ;44.00 ;Bras;4.3;391;41;0;11;48;0;0;0
55.00 ;55.00 ;Bras;4.2;555;0;0;15;85;0;0;0
58.00 ;39.99 ;Bras;4.1;9;59;0;41;0;0;0;0
50.00 ;39.95 ;Bras;4.3;391;41;0;11;48;0;0;0
46.00 ;46.00 ;Bras;4.3;431;72;0;0;0;0;0;28
65.00 ;65.00 ;Bras;4.3;1764;80;0;20;0;0;0;0
38.00 ;38.00 ;Bras;4.2;360;86;0;14;0;0;0;0
65.00 ;65.00 ;Bras;4.4;749;91;0;9;0;0;0;0
50.00 ;50.00 ;Bras;4.1;455;0;0;0;100;0;0;0
